TIMESTAMP,VX,VY,VZ,GX,GY,GZ,AX,AY,AZ
1634102820,7.83,4.6,1.63,1.1,3998.54,0.79,72.27,300.83,99.83
1634102821,7.74,4.75,1.34,3999.82,0.98,0,72.55,301.2,100.15
1634102822,8.35,4.58,1.37,0,0.49,3999.08,72.63,300.73,100.44
1634102823,8.36,4.47,1.16,0.98,3999.21,0.73,72.8,301.16,100.49
1634102824,8.21,4.7,1.25,0.43,3999.45,0.98,72.8,300.57,100.7
1634102825,8.15,4.67,1.56,0.85,3999.02,0.31,72.5,300.99,100.82
1634102826,8.23,4.84,1.29,3999.76,3998.9,0.31,72.63,301.04,100.34
1634102827,7.9,4.77,1.36,0.49,0,0,74.22,301.5,99.67
1634102828,8.24,4.98,1.32,3999.82,0.67,0.12,72.75,301.98,102
1634102829,8.17,4.59,1,3999.27,1.4,3999.08,73.6,301.65,102.05
1634102830,8.15,4.9,1.85,3999.94,3997.92,1.65,73.28,302.38,102.14
1634102832,7.92,4.6,1.28,0.49,3997.92,1.4,73.38,302.21,101.97
1634102833,7.9,4.77,1.35,0.12,0.06,3999.57,74.37,302.34,100.59
1634102834,7.87,5.33,2.16,3999.82,1.04,0.49,73.97,303.18,101.19
1634102835,7.78,5.09,1.33,3998.6,0.55,3998.29,75.31,303.24,99.43
1634102836,7.8,5.3,2.51,3998.6,0.79,3998.47,75.22,303.33,99.49
1634102837,7.98,5.17,2.02,3998.96,1.1,3999.02,74.85,302.81,99.67
1634102838,8.39,4.59,0.94,0.18,3999.27,0.61,74.97,302.7,99.57
1634102839,7.63,5.33,2.25,0.55,0.49,1.1,74.74,303.32,100.17
1634102840,8.07,5.22,1.37,1.4,1.34,3998.66,74.84,303.84,101.44
1634102841,7.89,5.49,1.85,0.61,3999.63,3999.76,76.37,304.5,100.57
1634102842,6.95,5.54,1.5,0.31,3999.57,3998.72,76.59,305.71,100.84
1634102843,8.63,5.7,1.17,3998.9,0.55,3998.6,76.73,305.84,100.79
1634102844,6.62,4.85,1.54,0.79,3996.15,0.18,77.59,306.45,100.63
1634102846,6.61,5.52,1.42,2.44,3991.58,3.17,79.38,307.12,99.12
1634102847,7.65,5.54,0.7,0.79,3995.61,3999.82,80.6,308.11,98
1634102848,6.59,5.67,1.48,3998.41,4.15,3997.01,79.44,307.73,98.48
1634102849,7.4,6.55,1.75,3998.29,2.2,3997.19,79.19,307.52,98.48
1634102850,8.04,5.87,1.07,3999.39,1.22,3997.56,78.68,307.51,98.81
1634102851,7.61,6.79,2,3998.11,6.47,1.04,77.53,307.8,99.91
1634102852,7.02,5.78,1.48,23.01,3943.12,32.65,72.78,306.67,104.74
1634102853,8.24,5.35,1.45,3997.74,2.56,3999.51,72.16,306.63,104.85
1634102854,8.89,5.26,1.11,0.67,3997.56,0.06,72.13,306.64,104.84
1634102855,7.62,4.9,1.68,3998.78,0.92,3999.51,71.71,306.76,105.04
1634102856,7.8,5.13,1.2,3999.88,1.1,0,71.14,306.69,105.74
1634102857,7.71,5.07,1.67,1.71,3996.89,0.37,70.98,306.25,105.63
1634102858,7.59,5.26,2.12,3999.82,0.24,0.18,70.27,306.01,106.18
1634102860,7.25,5.26,2.03,0,1.59,3999.88,69.68,305.94,106.43
1634102861,7.41,4.94,1.9,0.37,3996.15,2.08,67.84,305.03,106.86
1634102862,7.58,4.87,1.89,0.31,3999.63,0.98,67.71,304.72,106.51
1634102863,8.06,4.92,2.21,0.85,3997.5,0.61,67.31,304.65,106.52
1634102864,8.13,5.22,2.1,3999.51,1.04,3998.9,67.47,304.24,106.37
1634102865,9.28,5.19,1.7,0.49,0.18,3998.66,67.46,304.22,106.28
1634102866,8.22,4.65,1.69,1.1,3999.27,3999.69,67.92,303.84,106.03
1634102867,8.11,5.21,2.28,3999.45,4.03,3997.8,67.14,304.33,107.07
1634102868,7.57,4.73,1.79,0.55,3999.63,3999.39,67.04,304.49,107.17
1634102869,6.84,4.38,1.43,3998.66,0.55,0.24,67.3,304.13,107.4
1634102870,8.37,5.21,2.26,0.98,3999.15,0.24,66.93,304.04,107.92
1634102871,8.15,5.31,1.5,2.75,3995.91,2.69,66.7,304.27,108.31
1634102873,6.46,4.16,1.56,1.4,3997.13,1.71,66.79,304.14,108.29
1634102874,8.15,5.41,2.88,3997.56,4.82,3997.74,67.39,304.1,107.61
1634102875,7.73,5.64,2.14,3999.88,3997.74,0.61,67.39,304.16,107.61
1634102876,7.29,4.49,1.27,3999.69,3998.29,1.77,67.44,303.89,107.81
1634102877,8.67,5.33,2.19,3998.72,1.16,3999.33,66.09,304.22,109.14
1634102878,8.8,4.36,0.83,3999.45,1.46,3998.47,66.46,304.15,108.72
1634102879,7.29,4.99,2.04,0.55,3997.62,0.24,66.39,304.27,108.9
1634102880,7.77,5.12,2.8,3997.5,2.14,3998.72,65.98,304.35,109.03
1634102881,8.67,5.06,2.33,3998.9,1.95,3999.15,65.92,304.4,109.02
1634102882,7.81,4.48,1.73,0.12,3998.78,3999.39,65.73,304.61,109
1634102883,7.75,4.66,2.04,0.79,3997.68,2.38,65.85,304.81,108.73
1634102884,10.63,5.61,2.24,1.65,0,1.4,65.34,304.9,109.02
1634102885,9.52,4.76,1.26,6.1,3988.04,3.91,65.65,304.34,108.69
1634102887,7.99,4.67,2.19,3999.08,1.71,3998.6,66.06,304.67,107.73
1634102888,7.99,4.58,1.34,3999.08,0.49,3999.76,65.91,304.26,107.67
1634102889,6.74,4.54,2.43,3997.13,5.19,3996.22,65.63,304.73,107.83
1634102890,7.55,4.57,2.35,3996.09,6.59,3998.96,65.67,304.34,108.33
1634102891,8.86,4.75,1.89,3.11,3992.74,2.93,66.55,303.78,107.17
1634102892,5.95,4.56,2.36,3999.76,0.49,0.43,66.56,303.96,107.46
1634102893,6.55,4.79,2.55,1.59,3997.68,2.75,66.2,304.33,108.33
1634102894,8.73,4.28,1.2,3997.86,4.39,0,66.26,304.14,108.3
1634102895,7.6,4.73,2.26,0.85,3999.08,0.67,64.77,304.1,108.92
1634102896,7.07,4.33,2.28,3997.92,2.14,3999.94,64.69,304.21,108.99
